time,open,high,low,close
1790211660,30732.75,30740.5,30731,30738.75
1790211720,30739,30741.75,30736.5,30741.25
1790211780,30741.25,30744.75,30736.75,30742.25
1790211840,30741.75,30744,30736.75,30742.25
1790211900,30742,30743.5,30730,30730.75
1790211960,30730.25,30754.5,30730.25,30746
1790212020,30746,30758.5,30744,30756.5
1790212080,30756,30756.5,30751.25,30753.25
1790212140,30753.5,30754.5,30748.75,30750.25
1790212200,30750,30750.5,30742,30746.5
1790212260,30746.25,30749.75,30739.75,30740.25
1790212320,30740.5,30749,30737.5,30747
1790212380,30747.5,30752.75,30747,30750.75
1790212440,30751.25,30756,30750.25,30754.5
1790212500,30754.25,30755,30744,30748.25
1790212560,30748.75,30753,30744,30751.5
1790212620,30751,30751.5,30744,30744.75
1790212680,30745,30748.5,30743,30747.5
1790212740,30747.25,30753.25,30745.25,30748.25
1790212800,30748.25,30751.5,30746.25,30749.75
1790212860,30749.5,30750.5,30744.5,30745.25
1790212920,30745,30750,30741.75,30745.5
1790212980,30745.5,30747.5,30743.5,30744.75
1790213040,30745,30749,30740.75,30742.25
1790213100,30742.75,30743.5,30734.5,30740.75
1790213160,30740.75,30746,30739.75,30743.25
1790213220,30743.75,30746.25,30737.5,30739.25
1790213280,30739.75,30740,30733.5,30735.75
1790213340,30736,30737.5,30732.5,30737.5
1790213400,30737.75,30749.25,30732.75,30748.75
1790213460,30748.25,30751,30741.5,30749.75
1790213520,30750,30760.75,30746.5,30755.25
1790213580,30755,30756,30748.75,30749.5
1790213640,30750,30760,30749.5,30755.75
1790213700,30755.75,30760.25,30747.75,30749.25
1790213760,30750.75,30751.5,30742.75,30748.75
1790213820,30748.75,30756.25,30748.5,30749.5
1790213880,30750,30752,30747.25,30749.5
1790213940,30749.5,30751.75,30745,30748
1790214000,30748.5,30749.25,30742.75,30744.5
1790214060,30745,30757.5,30744,30753
1790214120,30753,30755.25,30748,30749.5
1790214180,30750,30752,30737,30738.75
1790214240,30739,30741,30735.25,30735.25
1790214300,30735,30739,30725.25,30734
1790214360,30734.75,30736.5,30725.75,30726.5
1790214420,30726,30726.5,30720.5,30725
1790214480,30725.25,30727.25,30719.5,30726.5
1790214540,30726.75,30731.75,30723.25,30728
1790214600,30728,30730.75,30713.5,30715.75
1790214660,30715.25,30729.5,30715.25,30728.75
1790214720,30728.25,30740.75,30728.25,30738
1790214780,30738.25,30746.5,30737.5,30745.5
1790214840,30745.5,30747,30733.5,30737.75
1790214900,30737.75,30738.75,30730.5,30736.5
1790214960,30736.75,30739,30735,30736
1790215020,30736.75,30738.75,30733.5,30735.25
1790215080,30735,30743.5,30733.75,30743.5
1790215140,30743.75,30745.5,30740,30743.75
1790215200,30743.25,30751,30740.75,30741.25
1790215260,30741.25,30743.75,30739,30743.25
1790215320,30743.25,30745.75,30741.25,30741.75
1790215380,30742.25,30743.25,30734.25,30736.75
1790215440,30737,30739,30730.75,30732.25
1790215500,30731.75,30732.25,30725,30726.5
1790215560,30726.75,30727,30716.25,30717.25
1790215620,30717,30720,30714.25,30716.5
1790215680,30717,30717.75,30709,30710.75
1790215740,30711,30715.25,30709.25,30714.5
1790215800,30714.5,30720.25,30713.75,30719
1790215860,30718.5,30718.5,30713.25,30717.5
1790215920,30717.25,30725.25,30715.5,30722.5
1790215980,30723.25,30728.75,30722,30727.5
1790216040,30728,30728.5,30724.25,30725
1790216100,30725,30740,30724.25,30735.5
1790216160,30736,30741.5,30735,30737.5
1790216220,30737.25,30739.75,30735.75,30737
1790216280,30737.5,30740.75,30735,30738.5
1790216340,30738.75,30742.5,30738.25,30739
1790216400,30738.75,30739.25,30735.25,30735.25
1790216460,30735.25,30737.5,30733.5,30736.25
1790216520,30736,30736.25,30729.75,30733.25
1790216580,30733.75,30734.75,30730.5,30733
1790216640,30733.25,30735.5,30731.25,30734
1790216700,30734,30736,30731,30731.5
1790216760,30731.25,30732.75,30728.75,30730.25
1790216820,30730,30731,30725.25,30726.5
1790216880,30726.75,30730,30724.25,30726.25
1790216940,30726,30735.5,30725.75,30729.25
1790217000,30729,30737.75,30726.5,30733.5
1790217060,30734.25,30737,30731.5,30734.5
1790217120,30734.5,30745.75,30733.75,30741
1790217180,30740.5,30744,30738.25,30739.25
1790217240,30739.75,30743,30739,30740.5
1790217300,30740.5,30741.5,30738,30740
1790217360,30739.25,30741.75,30737,30740.25
1790217420,30739.5,30744.25,30735.25,30743.75
1790217480,30743.75,30747.25,30741.25,30742.25
1790217540,30742,30742.75,30737.5,30738
1790217600,30738.25,30747,30737.5,30744.75
1790217660,30744.5,30745.75,30743,30744.25
1790217720,30744.75,30747,30743.75,30744.5
1790217780,30744.25,30745,30741,30741
1790217840,30741.5,30745.25,30740.5,30745
1790217900,30745.25,30747.75,30743.75,30744
1790217960,30744,30744.25,30741.25,30741.75
1790218020,30741.75,30744.5,30741.5,30744.25
1790218080,30744.5,30745,30742.75,30744
1790218140,30743.25,30743.5,30738.75,30743
1790218200,30743.5,30744,30741.5,30742.5
1790218260,30743.25,30743.75,30738,30738
1790218320,30738.75,30740.25,30737.75,30739.25
1790218380,30739,30740,30737.5,30738.5
1790218440,30738.5,30744.5,30737.25,30743.75
1790218500,30743.25,30747.25,30741.75,30744.5
1790218560,30744.5,30745.25,30743,30743.5
1790218620,30743.5,30744.75,30739.25,30739.25
1790218680,30739.75,30743.75,30739,30741.75
1790218740,30742.25,30743,30740.75,30741.75
1790218800,30740.75,30740.75,30734,30736.75
1790218860,30737,30742,30735.75,30739
1790218920,30738.25,30740.25,30736.25,30736.5
1790218980,30736.25,30737.5,30734.75,30735.5
1790219040,30735.75,30736,30730.75,30735
1790219100,30734.75,30735,30730.5,30731
1790219160,30731.75,30732,30722.5,30722.5
1790219220,30723.5,30724.5,30715.75,30716
1790219280,30717.25,30718,30708.25,30712
1790219340,30712,30714.75,30706,30710.5
1790219400,30710.5,30711.5,30703.75,30708.5
1790219460,30708.5,30712.75,30706,30712
1790219520,30712,30712.25,30706.25,30711.5
1790219580,30711,30717.25,30710,30715.5
1790219640,30715.25,30720.25,30713,30719.25
1790219700,30719.25,30722,30715.25,30716.25
1790219760,30716,30718,30710.5,30714.25
1790219820,30714,30720.5,30713,30720
1790219880,30719.75,30722.25,30718.25,30720.5
1790219940,30720.75,30723.25,30716.75,30717.25
1790220000,30717.75,30721,30716.75,30718.75
1790220060,30718.75,30719.75,30710.75,30713.5
1790220120,30714,30719.25,30713.25,30715
1790220180,30714.75,30715.25,30710.75,30712.25
1790220240,30712.5,30715,30711.5,30715
1790220300,30714.75,30720,30704.5,30706.5
1790220360,30706.25,30709,30698,30708.25
1790220420,30708.75,30708.75,30702.75,30706.25
1790220480,30706.25,30710.75,30705.5,30708
1790220540,30707,30708.5,30703.75,30706.25
1790220600,30706.25,30707,30698.75,30700.75
1790220660,30701.25,30707.5,30698.5,30706.5
1790220720,30706.75,30707,30702.75,30706.75
1790220780,30706.5,30707.5,30703.75,30704
1790220840,30704.5,30708.75,30702,30703.5
1790220900,30703.75,30704.5,30702,30703
1790220960,30702.5,30705.75,30700.75,30703.25
1790221020,30703.5,30704,30700.25,30702
1790221080,30702.5,30705.75,30698.5,30705
1790221140,30705,30707.25,30703.25,30706.75
1790221200,30706.75,30707,30701.75,30702.5
1790221260,30702.25,30704.75,30701.75,30702.25
1790221320,30701.75,30702.5,30694.75,30698.25
1790221380,30698.75,30701,30695,30696.75
1790221440,30696.5,30696.5,30687.75,30692
1790221500,30692.75,30695.75,30690,30695.25
1790221560,30695.5,30699.25,30693,30696.25
1790221620,30696.25,30698.25,30693.75,30697.25
1790221680,30697,30702.25,30696.75,30699.75
1790221740,30700,30705,30698.5,30703
1790221800,30703.25,30704.75,30701.75,30703.75
1790221860,30703.75,30708.25,30698,30699.5
1790221920,30699.25,30702.25,30696.5,30698.25
1790221980,30698,30703,30696.5,30703
1790222040,30702.75,30705.5,30702,30705.25
1790222100,30705.25,30709.75,30702.25,30704.75
1790222160,30704,30706.5,30701,30705.25
1790222220,30705.5,30705.5,30699.75,30701
1790222280,30701.75,30705.25,30699.5,30704.75
1790222340,30704,30708.75,30703.25,30707
1790222400,30707.5,30708,30693,30694.75
1790222460,30695,30697,30686.25,30690.75
1790222520,30691.25,30691.25,30685.5,30686.5
1790222580,30686.75,30687.25,30656.25,30669
1790222640,30669.25,30673.75,30660.5,30665
1790222700,30665.75,30673,30664.25,30667.25
1790222760,30667,30671,30663.25,30670.75
1790222820,30670.25,30670.25,30660.75,30661.25
1790222880,30661.25,30664.5,30658.25,30660.5
1790222940,30661,30668.75,30660.5,30663.75
1790223000,30664.5,30666.25,30663.5,30665
1790223060,30665,30670,30663.25,30666.75
1790223120,30667,30669,30660.75,30660.75
1790223180,30660.5,30661.5,30653.25,30655
1790223240,30654.75,30660.25,30653.75,30658.75
1790223300,30657.75,30659.5,30651,30657.75
1790223360,30658.25,30667.25,30657.75,30664.75
1790223420,30664.25,30666,30655.5,30655.75
1790223480,30656.25,30660.75,30651.25,30653.25
1790223540,30653,30658,30652.25,30656.75
1790223600,30656.25,30664.5,30654.75,30661.25
1790223660,30662,30663.25,30659.25,30660.5
1790223720,30661,30670,30661,30668.5
1790223780,30667.75,30668.25,30658.75,30659.25
1790223840,30659,30662.75,30655.75,30659
1790223900,30658.75,30662.5,30658.75,30661.5
1790223960,30661.75,30665.75,30655.25,30661
1790224020,30661.75,30662,30659,30660
1790224080,30660.5,30668.75,30660,30667.5
1790224140,30667.25,30677.75,30666.5,30675.75
1790224200,30675.75,30679.25,30673,30676.5
1790224260,30676.5,30682.75,30675.25,30681.25
1790224320,30680.75,30687.75,30680.25,30683.5
1790224380,30683.75,30692.5,30683.25,30692.25
1790224440,30692.75,30696.25,30689,30693.25
1790224500,30693.5,30695,30691.5,30694.5
1790224560,30694,30695.5,30689.5,30692.5
1790224620,30692.75,30694.25,30691,30691.25
1790224680,30691.5,30700,30691,30697
1790224740,30697.5,30697.75,30692.25,30692.5
1790224800,30693,30694,30687,30692
1790224860,30692.25,30693.25,30690,30690.25
1790224920,30692,30692,30682,30683
1790224980,30683.5,30683.75,30677.25,30682.75
1790225040,30682.5,30683,30678.75,30681.25
1790225100,30681.25,30681.25,30675.25,30677
1790225160,30677,30681.75,30674.25,30678.75
1790225220,30678.5,30678.5,30674.25,30677
1790225280,30676.5,30676.75,30673.5,30675.75
1790225340,30675.5,30680,30675,30680
1790225400,30680.25,30681,30675.25,30678.25
1790225460,30678,30678.75,30674.75,30675.5
1790225520,30675,30680,30674.5,30678.75
1790225580,30678.5,30680.5,30677,30680.5
1790225640,30680.75,30681.5,30675.75,30678.5
1790225700,30678.5,30682.75,30678.25,30681
1790225760,30681.25,30688,30680,30687.5
1790225820,30687.75,30688,30683.75,30686
1790225880,30686.5,30686.5,30679.75,30680.5
1790225940,30680.5,30690,30680,30686.5
1790226000,30686,30696.75,30686,30695
1790226060,30695.5,30700,30694.75,30699.75
1790226120,30699,30704.75,30697.25,30704.25
1790226180,30704,30707.5,30698.5,30706.5
1790226240,30707,30707.5,30702.5,30703.75
1790226300,30704.25,30705.75,30702.5,30704
1790226360,30704.25,30704.5,30699.75,30702
1790226420,30702.75,30716,30702.25,30711.5
1790226480,30710.75,30716,30703.5,30703.75
1790226540,30703.25,30704.75,30701.75,30703.75
1790226600,30703.25,30703.25,30697,30697
1790226660,30697,30699.25,30692.25,30693
1790226720,30693,30695,30690.75,30694.75
1790226780,30694.5,30695.25,30688,30691
1790226840,30691.25,30692.5,30689.5,30691.75
1790226900,30691.25,30697,30690.75,30691.75
1790226960,30691.75,30693,30686.75,30691.25
1790227020,30691,30695,30690,30694
